iter	Passed	Remaining
292	938	2263
293	939	2256
294	941	2249
295	943	2244
296	949	2247
297	951	2241
298	953	2235
299	955	2228
300	961	2233
301	965	2232
302	967	2226
303	969	2219
304	970	2212
305	972	2206
306	977	2206
307	980	2202
308	982	2196
309	984	2190
310	985	2183
311	988	2180
312	993	2179
313	995	2174
314	997	2169
315	999	2163
316	1001	2157
317	1005	2156
318	1009	2154
319	1011	2148
320	1012	2142
321	1014	2136
322	1018	2135
323	1022	2132
324	1024	2127
325	1026	2121
326	1028	2116
327	1030	2110
328	1034	2110
329	1037	2105
330	1039	2100
331	1040	2094
332	1042	2089
333	1049	2093
334	1052	2090
335	1054	2084
336	1056	2079
337	1058	2073
338	1064	2074
339	1067	2072
340	1069	2067
341	1071	2062
342	1074	2057
343	1079	2057
344	1081	2052
345	1083	2047
346	1084	2041
347	1086	2035
348	1088	2030
349	1092	2028
350	1094	2023
351	1096	2018
352	1098	2013
353	1100	2008
354	1102	2003
355	1105	2000
356	1108	1996
357	1109	1990
358	1111	1984
359	1113	1979
360	1114	1973
361	1116	1967
362	1119	1964
363	1123	1962
364	1125	1957
365	1127	1952
366	1128	1946
367	1130	1940
368	1132	1936
369	1135	1934
370	1137	1928
371	1138	1922
372	1140	1917
373	1142	1911
374	1143	1905
375	1144	1899
376	1147	1896
377	1152	1895
378	1154	1891
379	1155	1885
380	1157	1880
381	1158	1874
382	1160	1869
383	1164	1867
384	1166	1863
385	1168	1858
386	1169	1852
387	1170	1846
388	1172	1841
389	1174	1836
390	1177	1834
391	1180	1830
392	1182	1825
393	1183	1820
394	1184	1814
395	1186	1809
396	1187	1804
397	1190	1800
398	1193	1797
399	1195	1792
400	1196	1787
401	1198	1782
402	1199	1777
403	1201	1772
404	1203	1767
405	1205	1764
406	1208	1760
407	1209	1755
408	1211	1750
409	1213	1745
410	1214	1741
411	1216	1736
412	1218	1731
413	1221	1728
414	1223	1724
415	1225	1720
416	1227	1715
417	1229	1711
418	1231	1707
419	1233	1703
420	1238	1703
421	1240	1699
422	1242	1694
423	1244	1690
424	1246	1686
425	1249	1683
426	1253	1681
427	1254	1677
428	1256	1672
429	1257	1667
430	1259	1662
431	1260	1657
432	1262	1653
433	1266	1651
434	1269	1648
435	1270	1643
436	1272	1638
437	1273	1634
438	1275	1629
439	1276	1624
440	1280	1623
441	1282	1619
442	1284	1614
443	1285	1609
444	1287	1605
445	1288	1600
446	1290	1596
447	1291	1591
448	1294	1589
449	1297	1585
450	1299	1581
451	1300	1577
452	1302	1572
453	1304	1568
454	1305	1563
455	1307	1560
456	1310	1557
457	1312	1553
458	1314	1548
459	1315	1544
460	1317	1539
461	1318	1535
462	1320	1531
463	1323	1529
464	1327	1527
465	1329	1523
466	1330	1519
467	1332	1514
468	1334	1510
469	1335	1506
470	1339	1504
471	1340	1500
472	1342	1495
473	1343	1491
474	1345	1486
475	1346	1482
476	1347	1477
477	1349	1473
478	1351	1470
479	1355	1468
480	1357	1464
481	1358	1460
482	1360	1455
483	1361	1451
484	1363	1447
485	1365	1444
486	1368	1441
487	1369	1437
488	1371	1433
489	1372	1428
490	1374	1424
491	1375	1420
492	1377	1416
493	1378	1412
494	1381	1409
495	1384	1407
496	1386	1403
497	1387	1398
498	1389	1394
499	1390	1390
500	1392	1386
501	1394	1382
502	1396	1379
503	1398	1376
504	1400	1372
505	1402	1368
506	1403	1364
507	1405	1361
508	1406	1357
509	1408	1353
510	1411	1350
511	1415	1349
512	1416	1345
513	1418	1341
514	1419	1337
515	1421	1333
516	1422	1329
517	1426	1327
518	1429	1324
519	1431	1321
520	1432	1317
521	1433	1313
522	1435	1309
523	1436	1305
524	1438	1301
525	1442	1299
526	1443	1295
527	1445	1292
528	1446	1288
529	1448	1284
530	1450	1280
531	1451	1276
532	1453	1273
533	1456	1271
534	1458	1267
535	1459	1263
536	1461	1259
537	1462	1255
538	1464	1252
539	1465	1248
540	1467	1244
541	1470	1242
542	1472	1239
543	1474	1235
544	1475	1231
545	1477	1228
546	1478	1224
547	1479	1220
548	1481	1216
549	1483	1213
550	1486	1210
551	1487	1207
552	1489	1203
553	1490	1200
554	1492	1196
555	1493	1192
556	1495	1189
557	1496	1185
558	1499	1183
559	1502	1180
560	1503	1176
561	1505	1173
562	1506	1169
563	1508	1166
564	1509	1162
565	1511	1158
566	1513	1156
567	1517	1153
568	1518	1150
569	1520	1146
570	1521	1143
571	1523	1139
572	1524	1136
573	1526	1132
574	1529	1130
575	1531	1127
576	1532	1123
577	1534	1120
578	1536	1116
579	1537	1113
580	1539	1110
581	1540	1106
582	1544	1104
583	1546	1101
584	1548	1098
585	1549	1094
586	1551	1091
587	1552	1087
588	1554	1084
589	1556	1081
590	1560	1079
591	1562	1076
592	1563	1073
593	1565	1069
594	1566	1066
595	1568	1062
596	1569	1059
597	1573	1057
598	1575	1054
599	1576	1051
600	1578	1047
601	1579	1044
602	1581	1040
603	1582	1037
604	1584	1034
605	1592	1035
606	1594	1032
607	1595	1028
608	1597	1025
609	1599	1022
610	1602	1020
611	1605	1017
612	1607	1014
613	1608	1011
614	1610	1007
615	1611	1004
616	1613	1001
617	1614	998
618	1618	996
619	1621	994
620	1623	990
621	1624	987
622	1626	984
623	1627	980
624	1629	977
625	1631	974
626	1634	972
627	1635	969
628	1637	965
629	1639	962
630	1640	959
631	1642	956
632	1643	953
633	1646	950
634	1649	948
635	1651	945
636	1652	941
637	1654	938
638	1655	935
639	1657	932
640	1660	930
641	1663	927
642	1665	924
643	1667	921
644	1668	918
645	1670	915
646	1672	912
647	1674	909
648	1677	907
649	1679	904
650	1681	901
651	1682	898
652	1684	895
653	1686	892
654	1689	889
655	1692	887
656	1694	884
657	1695	881
658	1697	878
659	1699	875
660	1700	872
661	1702	869
662	1707	867
663	1710	865
664	1712	862
665	1714	859
666	1715	856
667	1717	853
668	1721	851
669	1722	848
670	1724	845
671	1726	842
672	1727	839
673	1729	836
674	1731	833
675	1735	831
676	1737	829
677	1739	826
678	1741	823
679	1742	820
680	1744	817
681	1745	814
682	1749	812
683	1751	809
684	1753	806
685	1754	803
686	1756	800
687	1758	797
688	1759	794
689	1762	791
690	1765	789
691	1767	786
692	1768	783
693	1770	780
694	1771	777
695	1773	774
696	1775	771
697	1779	769
698	1781	767
699	1783	764
700	1784	761
701	1786	758
702	1787	755
703	1789	752
704	1792	750
705	1796	748
706	1798	745
707	1799	742
708	1801	739
709	1803	736
710	1804	733
711	1809	731
712	1811	728
713	1812	726
714	1814	723
715	1816	720
716	1817	717
717	1819	714
718	1822	712
719	1826	710
720	1827	707
721	1829	704
722	1831	701
723	1833	698
724	1835	696
725	1839	694
726	1841	691
727	1843	688
728	1844	685
729	1846	682
730	1848	680
731	1850	677
732	1856	676
733	1857	673
734	1859	670
735	1861	667
736	1863	664
737	1865	662
738	1869	660
739	1871	657
740	1872	654
741	1874	651
742	1876	648
743	1877	646
744	1880	643
745	1884	641
746	1886	638
747	1888	636
748	1889	633
749	1891	630
750	1893	627
751	1898	625
752	1899	623
753	1901	620
754	1903	617
755	1904	614
756	1906	611
757	1907	609
758	1912	607
759	1914	604
760	1916	601
761	1917	599
762	1919	596
763	1921	593
764	1922	590
765	1926	588
766	1928	585
767	1929	582
768	1931	580
769	1933	577
770	1934	574
771	1936	571
772	1940	569
773	1943	567
774	1944	564
775	1946	561
776	1947	559
777	1949	556
778	1951	553
779	1954	551
780	1956	548
781	1958	545
782	1960	543
783	1961	540
784	1964	537
785	1969	536
786	1973	533
787	1974	531
788	1976	528
789	1977	525
790	1979	523
791	1982	520
792	1986	518
793	1988	515
794	1989	513
795	1991	510
796	1992	507
797	1994	504
798	1996	502
799	1999	499
800	2001	497
801	2003	494
802	2004	491
803	2006	489
804	2007	486
805	2009	483
806	2012	481
807	2014	478
808	2016	476
809	2017	473
810	2019	470
811	2021	467
812	2022	465
813	2024	462
814	2028	460
815	2030	457
816	2031	455
817	2033	452
818	2034	449
819	2036	446
820	2037	444
821	2039	441
822	2041	439
823	2047	437
824	2048	434
825	2054	432
826	2069	432
827	2072	430
828	2077	428
829	2080	426
830	2083	423
831	2086	421
832	2091	419
833	2093	416
834	2096	414
835	2098	411
836	2107	410
837	2110	407
838	2112	405
839	2121	404
840	2124	401
841	2126	399
842	2129	396
843	2134	394
844	2137	392
845	2140	389
846	2149	388
847	2151	385
848	2154	383
849	2160	381
850	2164	378
851	2166	376
852	2168	373
853	2170	371
854	2177	369
855	2179	366
856	2182	364
857	2184	361
858	2189	359
859	2193	357
860	2195	354
861	2197	351
862	2199	349
863	2204	347
864	2206	344
865	2208	341
866	2210	339
867	2211	336
868	2213	333
869	2216	331
870	2219	328
871	2220	325
872	2221	323
873	2223	320
874	2224	317
875	2226	315
876	2227	312
877	2230	309
878	2233	307
879	2235	304
880	2236	302
881	2238	299
882	2239	296
883	2241	294
884	2242	291
885	2246	288
886	2247	286
887	2249	283
888	2250	281
889	2252	278
890	2254	275
891	2256	273
892	2257	270
893	2261	268
894	2263	265
895	2264	262
896	2266	260
897	2267	257
898	2269	254
899	2270	252
900	2272	249
901	2276	247
902	2278	244
903	2279	242
904	2281	239
905	2282	236
906	2284	234
907	2285	231
908	2287	229
909	2292	226
910	2294	224
911	2295	221
912	2297	218
913	2298	216
914	2300	213
915	2302	211
916	2304	208
917	2306	206
918	2308	203
919	2309	200
920	2310	198
921	2312	195
922	2313	193
923	2315	190
924	2317	187
925	2321	185
926	2323	182
927	2325	180
928	2326	177
929	2328	175
930	2330	172
931	2332	170
932	2335	167
933	2336	165
934	2338	162
935	2339	159
936	2341	157
937	2343	154
938	2344	152
939	2347	149
940	2350	147
941	2351	144
942	2353	142
943	2354	139
944	2356	137
945	2357	134
946	2358	132
947	2362	129
948	2365	127
949	2367	124
950	2368	122
951	2370	119
952	2371	116
953	2373	114
954	2376	111
955	2379	109
956	2381	106
957	2382	104
958	2383	101
959	2385	99
960	2386	96
961	2388	94
962	2390	91
963	2393	89
964	2395	86
965	2396	84
966	2398	81
967	2399	79
968	2401	76
969	2403	74
970	2407	71
971	2409	69
972	2411	66
973	2412	64
974	2414	61
975	2415	59
976	2417	56
977	2420	54
978	2423	51
979	2425	49
980	2426	46
981	2428	44
982	2429	42
983	2431	39
984	2434	37
985	2438	34
986	2439	32
987	2441	29
988	2442	27
989	2444	24
990	2445	22
991	2449	19
992	2452	17
993	2453	14
994	2455	12
995	2456	9
996	2458	7
997	2459	4
998	2460	2
999	2464	0
